event_date,event_timestamp,event_name,event_params.key,event_params.value.string_value,event_params.value.int_value,event_params.value.float_value,event_params.value.double_value,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,privacy_info.analytics_storage,privacy_info.ads_storage,privacy_info.uses_transient_token,user_properties.key,user_properties.value.string_value,user_properties.value.int_value,user_properties.value.float_value,user_properties.value.double_value,user_properties.value.set_timestamp_micros,user_first_touch_timestamp,user_ltv.revenue,user_ltv.currency,device.category,device.mobile_brand_name,device.mobile_model_name,device.mobile_marketing_name,device.mobile_os_hardware_model,device.operating_system,device.operating_system_version,device.vendor_id,device.advertising_id,device.language,device.is_limited_ad_tracking,device.time_zone_offset_seconds,device.web_info.browser,device.web_info.browser_version,geo.continent,geo.sub_continent,geo.country,geo.region,geo.city,geo.metro,app_info.id,app_info.version,app_info.install_store,app_info.firebase_app_id,app_info.install_source,traffic_source.medium,traffic_source.name,traffic_source.source,stream_id,platform,event_dimensions.hostname,ecommerce.total_item_quantity,ecommerce.purchase_revenue_in_usd,ecommerce.purchase_revenue,ecommerce.refund_value_in_usd,ecommerce.refund_value,ecommerce.shipping_value_in_usd,ecommerce.shipping_value,ecommerce.tax_value_in_usd,ecommerce.tax_value,ecommerce.unique_items,ecommerce.transaction_id,items.item_id,items.item_name,items.item_brand,items.item_variant,items.item_category,items.item_category2,items.item_category3,items.item_category4,items.item_category5,items.price_in_usd,items.price,items.quantity,items.item_revenue_in_usd,items.item_revenue,items.item_refund_in_usd,items.item_refund,items.coupon,items.affiliation,items.location_id,items.item_list_id,items.item_list_name,items.item_list_index,items.promotion_id,items.promotion_name,items.creative_name,items.creative_slot
,,,page_location,https://shop.googlemerchandisestore.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,1.6097E+15,session_start,page_location,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,,,,-6411002457,,,3886972.1560030558,,,No,,,,,,,1.6097E+15,0,USD,desktop,Apple,Safari,<Other>,,Web,<Other>,,,en-us,No,,Safari,<Other>,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,<Other>,<Other>,<Other>,2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,4344470266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Apparel | Google Merchandise Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,1.61055E+15,first_visit,page_location,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,,,,1236656593,,,5057241.7508029345,,,No,,,,,,,1.61055E+15,0,USD,mobile,Google,Pixel 3,<Other>,,Android,<Other>,,,en-us,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,organic,(organic),google,2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Apparel | Google Merchandise Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,9009371496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,1.61091E+15,page_view,entrances,,1,,,,,-5200104759,,,6475141.6545877439,,,No,,,,,,,1.61091E+15,0,USD,desktop,Apple,Safari,<Other>,,Web,Intel 10.15,,,es-es,No,,Safari,14.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,organic,(organic),google,2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://shop.googlemerchandisestore.com/signin.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,all_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,9627797947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,The Google Merchandise Store - Log In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,clean_event,gtm.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210116,1.61078E+15,user_engagement,session_engaged,0,,,,,,-2956234537,,,7048148.0095948718,,,No,,,,,,,1.61077E+15,0,USD,desktop,Google,Chrome,<Other>,,Web,10,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,referral,(referral),shop.googlemerchandisestore.com,2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,medium,referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://shop.googlemerchandisestore.com/google+redesign/apparel/google+dino+game+tee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Page Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,source,shop.googlemerchandisestore.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,campaign,(referral),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,2634310464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,1.61208E+15,session_start,ga_session_id,,1085011694,,,,,-9705040760,,,11717984.9434838782,,,No,,,,,,,1.61208E+15,0,USD,mobile,Samsung,<Other>,<Other>,,Web,10,,,,No,,Chrome,86.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,organic,(organic),google,2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Apparel | Google Merchandise Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210108,1.61008E+15,view_promotion,session_engaged,1,,,,,,-2904941205,,,30900021.3233786964,,,No,,,,,,,1.60203E+15,0,USD,mobile,<Other>,<Other>,<Other>,,Android,Android 9,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278,WEB,,,,,,,,,,,1,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),,,,,,,,(not set),(not set),(not set),(not set),(not set),Slide 1,(not set),Reach New Heights,Front Page Carousel,(not set)
,,,engagement_time_msec,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://shop.googlemerchandisestore.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,3003908783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210128,1.61188E+15,scroll,source,shop.googlemerchandisestore.com,,,,,,-6399212118,,,51332807.2446211883,,,No,,,,,,,1.61188E+15,0,USD,desktop,Google,Chrome,<Other>,,Web,10,,,en-us,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,<Other>,<Other>,<Other>,2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,medium,referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,6465097438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Womens | Apparel | Google Merchandise Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,campaign,(referral),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,percent_scrolled,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engagement_time_msec,,12285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,1.6109E+15,scroll,ga_session_number,,3,,,,,-2892981018,,,61031472.8710389493,,,No,,,,,,,1.61087E+15,0,USD,desktop,Google,Chrome,<Other>,,Windows,Windows 7,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1027719877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,percent_scrolled,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engagement_time_msec,,21145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://shop.googlemerchandisestore.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,1.61087E+15,first_visit,page_location,https://shop.googlemerchandisestore.com/,,,,,,7788820090,,,61031472.8710389493,,,No,,,,,,,1.61087E+15,0,USD,desktop,Google,Chrome,<Other>,,Windows,Windows 7,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,organic,(organic),google,2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
